from,to,weight
1322,2381,1
1322,2433,1
1322,3131,1
1322,3132,1
1322,3133,1
1322,3134,1
1322,3135,1
1322,3141,1
1323,1411,1
1323,1412,1
1323,1421,1
1323,1511,1
1323,1617,1
1323,1618,3
1323,1621,1
1323,1622,1
1323,2131,1
1323,2132,1
1323,2133,1
1323,2141,1
1323,2142,3
1323,2143,1
1323,2144,1
1323,2145,1
1323,2146,3
1323,2149,1
1323,2151,1
1323,2152,1
1323,2161,7
1323,2162,7
1323,2165,1
1323,2181,2
1323,2183,2
1323,2381,1
1323,2391,1
1323,2411,1
1323,2425,1
1323,2433,1
1323,2434,1
1323,2712,1
1323,2842,1
1323,2912,1
1323,3112,1
1323,3117,1
1323,3119,1
1323,3159,1
1323,3323,1
1323,3334,1
1323,3339,1
1323,3622,1
1323,3712,1
1323,3713,1
1323,3714,1
1323,4221,1
1323,4313,1
1323,4419,1
1324,1412,1
1324,2182,3
1324,2262,1
1324,2263,2
1324,2411,2
1324,2423,2
1324,3122,3
1324,3142,1
1324,3213,1
1324,3323,1
1324,3331,1
1324,4321,2
1324,4323,1
1324,4415,1
1324,5121,1
1324,5223,1
1324,7511,1
1324,7515,1
1324,9333,1
1324,9334,1
1411,1511,1
1411,1617,1
1411,1618,2
1411,2131,1
1411,2132,1
1411,2133,2
1411,2142,1
1411,2146,1
1411,2161,1
1411,2162,1
1411,2165,1
1411,2181,1
1411,2311,1
1411,2391,1
1411,2421,1
1411,2422,1
1411,2423,1
1411,2425,1
1411,2434,2
1411,2611,2
1411,2619,1
1411,2711,1
1411,2712,1
1411,2842,1
1411,2911,1
1411,2914,1
1411,3119,1
1411,3122,1
1411,3123,1
1411,3129,1
1411,3332,1
1411,3333,1
1411,3341,1
1411,3343,1
1411,3622,2
1411,3633,1
1411,3634,1
1411,3641,1
1411,3711,1
1411,4222,1
1411,4226,1
1411,4312,2
1411,4323,1
1411,4419,1
1411,5222,1
1411,5415,1
1412,1421,1
1412,2161,1
1412,2162,1
1412,2183,1
1412,2262,1
1412,2411,1
1412,2425,1
1412,2712,2
1412,2912,1
1412,3122,1
1412,3213,1
1412,3323,1
1412,3641,2
1412,3712,1
