code,skills,skill_type
5131,Monitoring,basic_skills
5132,Active Listening,basic_skills
5132,Service Orientation,basic_skills
5132,Social Perceptivenesss,basic_skills
5132,Coordination,basic_skills
5132,Critical Thinking,basic_skills
5132,Food Preparation,specific_skills
5141,Active Listening,basic_skills
5141,Speaking,basic_skills
5141,Service Orientation,basic_skills
5141,Active Learning,basic_skills
5141,Beauty Skills,specific_skills
5142,Service Orientation,basic_skills
5142,Social Perceptivenesss,basic_skills
5142,Beauty Skills,specific_skills
5151,Active Listening,basic_skills
5151,Service Orientation,basic_skills
5151,Social Perceptivenesss,basic_skills
5151,Speaking,basic_skills
5151,Housekeeping,specific_skills
5151,Microsoft Office,specific_skills
5151,Data Entry,specific_skills
5151,Staff Management,specific_skills
5151,Team Management,specific_skills
5152,Speaking,basic_skills
5152,Active Listening,basic_skills
5152,Service Orientation,basic_skills
5152,Social Perceptivenesss,basic_skills
5152,Housekeeping,specific_skills
5152,Cooking,specific_skills
5152,Child Care,specific_skills
5152,Coordination,basic_skills
5152,Time Management,basic_skills
5153,Active Listening,basic_skills
5153,Service Orientation,basic_skills
5153,Coordination,basic_skills
5153,Time Management,basic_skills
5153,Equipment Maintenance,specific_skills
5153,Facility Maintenance,specific_skills
5153,Plumbing,specific_skills
5161,Active Listening,basic_skills
5161,Speaking,basic_skills
5162,Public Relations,basic_skills
5162,Sales,basic_skills
5163,Speaking,basic_skills
5163,Active Listening,basic_skills
5163,Critical Thinking,basic_skills
5163,Coordination,basic_skills
5163,Decision Making,basic_skills
5164,Monitoring,basic_skills
5164,Active Listening,basic_skills
5164,Coordination,basic_skills
5164,Decision Making,basic_skills
5164,Reading Comprehension,basic_skills
5164,Critical Thinking,basic_skills
5164,Service Orientation,basic_skills
5165,Speaking,basic_skills
5165,Active Listening,basic_skills
5165,Teaching,basic_skills
5165,Learning Strategies,basic_skills
5165,Active Learning,basic_skills
5169,Speaking,basic_skills
5169,Active Listening,basic_skills
5169,Service Orientation,basic_skills
5169,Social Perceptivenesss,basic_skills
5169,Coordination,basic_skills
5169,Conflict Management,specific_skills
5169,Time Management,basic_skills
5169,Reading Comprehension,basic_skills
5169,Critical Thinking,basic_skills
5211,Persuasion,basic_skills
5211,Active Listening,basic_skills
5211,Service Orientation,basic_skills
5211,Speaking,basic_skills
5211,Negotiation,basic_skills
5211,Sales,basic_skills
5211,Cash Management,specific_skills
5211,Digital Advertising,specific_skills
5212,Persuasion,basic_skills
5212,Speaking,basic_skills
5212,Social Perceptivenesss,basic_skills
5212,Service Orientation,basic_skills
5212,Active Listening,basic_skills
5212,Sales,basic_skills
5212,Food Preparation,specific_skills
5221,Active Listening,basic_skills
5221,Service Orientation,basic_skills
5221,Speaking,basic_skills
5221,Coordination,basic_skills
5221,Critical Thinking,basic_skills
5221,Sales,basic_skills
5221,Cash Management,specific_skills
5221,Digital Advertising,specific_skills
5222,Active Listening,basic_skills
5222,Monitoring,basic_skills
5222,Speaking,basic_skills
5222,Coordination,basic_skills
5222,Sales,basic_skills
5222,Microsoft Office,specific_skills
5222,Administration Management,specific_skills
5222,Invoicing,specific_skills
5222,Sales Management,specific_skills
5223,Persuasion,basic_skills
5223,Active Listening,basic_skills
5223,Service Orientation,basic_skills
5223,Speaking,basic_skills
5223,Negotiation,basic_skills
5223,Sales,basic_skills
5223,Microsoft Office,specific_skills
5223,Data Entry,specific_skills
5223,Inventory Management,specific_skills
5223,Invoicing,specific_skills
5231,Service Orientation,basic_skills
5231,Active Listening,basic_skills
5231,Speaking,basic_skills
5231,Mathematics,basic_skills
5231,Social Perceptivenesss,basic_skills
