from,to,weight
2811,2263,1
2811,2311,1
2811,2331,1
2811,2341,1
2811,2361,1
2811,2399,1
2811,2619,1
2811,2711,1
2811,2915,1
2811,2916,1
2821,1111,1
2821,1112,1
2821,1622,1
2821,2111,1
2821,2114,1
2821,2131,1
2821,2133,1
2821,2143,1
2821,2145,1
2821,2152,1
2821,2173,1
2821,2251,1
2821,2311,1
2821,2422,1
2821,2426,1
2821,2434,1
2821,2611,1
2821,2619,1
2821,2822,1
2821,2849,1
2822,1111,1
2822,1112,1
2822,2111,3
2822,2114,3
2822,2131,3
2822,2173,1
2822,2311,1
2822,2849,1
2824,2212,1
2825,1111,1
2825,1112,1
2825,2611,1
2825,2824,1
2831,1111,1
2831,1112,1
2831,1221,1
2831,1223,1
2831,1615,1
2831,2111,1
2831,2114,1
2831,2131,1
2831,2132,1
2831,2133,1
2831,2143,1
2831,2145,1
2831,2151,1
2831,2152,1
2831,2153,1
2831,2173,1
2831,2251,1
2831,2262,1
2831,2269,1
2831,2311,1
2831,2399,1
2831,2422,1
2831,2426,1
2831,2434,1
2831,2521,1
2831,2523,1
2831,2611,1
2831,2619,1
2831,2822,1
2831,2832,2
2831,2849,1
2832,1222,1
2832,1511,1
2832,2131,2
2832,2262,2
2832,2263,1
2832,2311,1
2832,2331,1
2832,2341,1
2832,2361,1
2832,2619,1
2832,2915,1
2832,2916,1
2833,2131,1
2833,2132,1
2833,2262,1
2833,2263,1
2833,2265,1
2833,2311,1
2833,2331,1
2833,2341,1
2833,2361,1
2833,2392,1
2833,2399,1
2833,2422,1
2833,2425,1
2833,2619,1
2833,2711,1
2833,2811,1
2833,2832,1
2833,2913,1
2833,2915,1
2833,2916,1
2833,3634,1
2841,1511,1
2841,2844,2
2841,3521,1
2841,3631,1
2842,1223,1
2842,1511,1
2842,2134,1
2844,1511,1
2849,1111,1
2849,1112,1
2849,2111,1
2849,2114,1
2849,2131,1
2849,2173,1
2911,1111,1
2911,1112,1
2911,1121,1
2911,2611,1
2911,2915,1
2912,1111,1
2912,1112,1
2912,2111,1
2912,2114,1
2912,2131,1
2912,2133,1
2912,2143,1
2912,2145,1
2912,2152,1
2912,2162,1
2912,2173,1
2912,2183,1
2912,2251,1
2912,2311,1
2912,2422,1
